procs,time_s,speedup,efficiency,profit
1,383.640,1.000,100.0,1500
2,239.470,1.602,80.1,1500
4,168.710,2.274,56.8,1500
8,163.250,2.350,29.4,1500
16,109.280,3.511,21.9,1500
