procs,time_s,speedup,efficiency,profit
1,1764.250,1.000,100.0,1500
2,1062.420,1.661,83.0,1500
4,760.690,2.319,58.0,1500
8,669.960,2.633,32.9,1500
16,430.840,4.095,25.6,1500
