procs,time_s,speedup,efficiency,profit
1,1048.780,1.000,100.0,1500
2,631.970,1.660,83.0,1500
4,455.940,2.300,57.5,1500
8,401.900,2.610,32.6,1500
16,260.150,4.031,25.2,1500
